COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","15","0","0","15","1","0","0","1","16"
"ABS Global Ltd","ABS","0","5","0","0","5","0","0","0","0","5"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"REPUBLIC OF ANGOLA","AGO","0","2","0","0","2","0","0","0","0","2"
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ARGENTINA","ARGN","0","38","0","0","38","29","0","1","30","68"
"AUSTRIA","ASRA","0","3","0","0","3","1","0","0","1","4"
"AUSTRALIA","AUS","0","36","2","0","38","22","0","0","22","60"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELGIUM","BEL","0","10","0","0","10","5","0","0","5","15"
"BELARUS","BELA","0","1","0","0","1","1","0","0","1","2"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
"REPUBLIC OF BULGARIA","BGR","0","6","0","0","6","0","0","0","0","6"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","26","0","0","26","8","0","0","8","34"
"CANADA","CA","0","70","0","5","75","27","0","2","29","104"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","4","0","12","16","0","0","75","75","91"
"CHILE","CHLE","0","3","0","0","3","4","0","0","4","7"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","17","1579","1049","4154","6799","2163","2940","13061","18164","24963"
"COLOMBIA","COL","0","2","0","0","2","1","0","0","1","3"
"REPUBLIC OF COSTA RICA","CRI","0","0","0","0","0","1","0","0","1","1"
"CZECHOSLOVAKIA","CZCH","0","3","0","0","3","1","0","0","1","4"
"Czechia","CZE","0","4","0","0","4","5","0","0","5","9"
"DENMARK","DEN","0","9","0","0","9","7","0","0","7","16"
"Djibouti","DJI","0","2","0","0","2","0","0","0","0","2"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","11","0","0","11","2","0","0","2","13"
"EUROPEAN SPACE AGENCY","ESA","0","103","7","19","129","16","4","29","49","178"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","1","0","0","1","1","0","0","1","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","10","0","8","18","0","0","0","0","18"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","62","0","0","62","0","0","0","0","62"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","27","0","0","27","8","0","0","8","35"
"FRANCE","FR","0","118","170","355","643","22","87","703","812","1455"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","84","0","1","85","35","0","1","36","121"
"REPUBLIC OF GHANA","GHA","0","0","0","0","0","1","0","0","1","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","3","0","0","3","2","0","0","2","5"
"Croatia","HRV","0","1","0","0","1","0","0","0","0","1"
"HUNGARY","HUN","0","1","0","0","1","7","0","0","7","8"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","20","0","0","20","0","0","0","0","20"
"INDIA","IND","1","113","41","44","199","37","34","484","555","754"
"INDONESIA","INDO","0","19","0","0","19","3","0","0","3","22"
"IRAN","IRAN","5","4","3","0","12","10","6","2","18","30"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
"ISRAEL","ISRA","0","17","0","0","17","25","10","1","36","53"
